"","assay","primary","colname"
"1","BRCA_miRNASeqGene-20160128","TCGA-3C-AALI","TCGA-3C-AALI-01A-11R-A41G-13"
"2","BRCA_miRNASeqGene-20160128","TCGA-3C-AALJ","TCGA-3C-AALJ-01A-31R-A41G-13"
"3","BRCA_miRNASeqGene-20160128","TCGA-3C-AALK","TCGA-3C-AALK-01A-11R-A41G-13"
"4","BRCA_miRNASeqGene-20160128","TCGA-A1-A0SD","TCGA-A1-A0SD-01A-11R-A114-13"
"5","BRCA_miRNASeqGene-20160128","TCGA-A1-A0SF","TCGA-A1-A0SF-01A-11R-A143-13"
"6","BRCA_miRNASeqGene-20160128","TCGA-A1-A0SI","TCGA-A1-A0SI-01A-11R-A143-13"
"7","BRCA_miRNASeqGene-20160128","TCGA-A1-A0SN","TCGA-A1-A0SN-01A-11R-A143-13"
"8","BRCA_miRNASeqGene-20160128","TCGA-A1-A0SQ","TCGA-A1-A0SQ-01A-21R-A143-13"
"9","BRCA_miRNASeqGene-20160128","TCGA-A2-A04N","TCGA-A2-A04N-01A-11R-A114-13"
"10","BRCA_miRNASeqGene-20160128","TCGA-A2-A04U","TCGA-A2-A04U-01A-11R-A114-13"
"11","BRCA_miRNASeqGene-20160128","TCGA-A2-A0CL","TCGA-A2-A0CL-01A-11R-A114-13"
"12","BRCA_miRNASeqGene-20160128","TCGA-A2-A0CS","TCGA-A2-A0CS-01A-11R-A114-13"
"13","BRCA_miRNASeqGene-20160128","TCGA-A2-A0CV","TCGA-A2-A0CV-01A-31R-A114-13"
"14","BRCA_miRNASeqGene-20160128","TCGA-A2-A0CW","TCGA-A2-A0CW-01A-21R-A114-13"
"15","BRCA_miRNASeqGene-20160128","TCGA-A2-A0D3","TCGA-A2-A0D3-01A-11R-A114-13"
"16","BRCA_miRNASeqGene-20160128","TCGA-A2-A0T3","TCGA-A2-A0T3-01A-21R-A114-13"
"17","BRCA_miRNASeqGene-20160128","TCGA-A2-A1FW","TCGA-A2-A1FW-01A-11R-A13P-13"
"18","BRCA_miRNASeqGene-20160128","TCGA-A2-A1FX","TCGA-A2-A1FX-01A-11R-A13P-13"
"19","BRCA_miRNASeqGene-20160128","TCGA-A2-A1FZ","TCGA-A2-A1FZ-01A-51R-A14C-13"
"20","BRCA_miRNASeqGene-20160128","TCGA-A2-A1G1","TCGA-A2-A1G1-01A-21R-A13P-13"
"21","BRCA_miRNASeqGene-20160128","TCGA-A2-A1G4","TCGA-A2-A1G4-01A-11R-A13P-13"
"22","BRCA_miRNASeqGene-20160128","TCGA-A2-A1G6","TCGA-A2-A1G6-01A-11R-A13P-13"
"23","BRCA_miRNASeqGene-20160128","TCGA-A2-A259","TCGA-A2-A259-01A-11R-A16E-13"
"24","BRCA_miRNASeqGene-20160128","TCGA-A2-A25B","TCGA-A2-A25B-01A-11R-A168-13"
"25","BRCA_miRNASeqGene-20160128","TCGA-A2-A25C","TCGA-A2-A25C-01A-11R-A168-13"
"26","BRCA_miRNASeqGene-20160128","TCGA-A2-A25E","TCGA-A2-A25E-01A-11R-A168-13"
"27","BRCA_miRNASeqGene-20160128","TCGA-A2-A25F","TCGA-A2-A25F-01A-11R-A168-13"
"28","BRCA_miRNASeqGene-20160128","TCGA-A2-A3XS","TCGA-A2-A3XS-01A-11R-A22V-13"
"29","BRCA_miRNASeqGene-20160128","TCGA-A2-A3XT","TCGA-A2-A3XT-01A-11R-A22V-13"
"30","BRCA_miRNASeqGene-20160128","TCGA-A2-A3XU","TCGA-A2-A3XU-01A-12R-A22V-13"
"31","BRCA_miRNASeqGene-20160128","TCGA-A2-A3XV","TCGA-A2-A3XV-01A-21R-A23A-13"
"32","BRCA_miRNASeqGene-20160128","TCGA-A2-A3XW","TCGA-A2-A3XW-01A-11R-A23A-13"
